FLIGHT LOG
t, z, x, theta, rpm1, rpm2, v_z, v_x, omega, pred_theta, del_rpm
81.000, -1611.841, 0.000, 0.000, 6.609, 6.609, -15.00, 0.00, 0.00, 0.000, 0.000
82.000, -1631.739, 0.000, 0.000, 6.772, 6.772, -15.00, 0.00, 0.00, 0.000, 0.000
83.000, -1651.637, 0.000, 0.000, 6.937, 6.937, -15.00, 0.00, 0.00, 0.000, 0.000
84.000, -1671.535, 0.000, 0.000, 7.105, 7.105, -15.00, 0.00, 0.00, 0.000, 0.000
85.000, -1691.433, 0.000, 0.000, 7.274, 7.274, -15.00, 0.00, 0.00, 0.000, 0.000
86.000, -1711.331, 0.000, 0.000, 7.445, 7.445, -15.00, 0.00, 0.00, 0.000, 0.000
87.000, -1731.228, 0.000, 0.000, 7.618, 7.618, -15.00, 0.00, 0.00, 0.000, 0.000
88.000, -1751.126, 0.000, 0.000, 7.793, 7.793, -15.00, 0.00, 0.00, 0.000, 0.000
89.000, -1771.023, 0.000, 0.000, 7.970, 7.970, -15.00, 0.00, 0.00, 0.000, 0.000
90.000, -1790.920, 0.000, 0.000, 8.149, 8.149, -15.00, 0.00, 0.00, 0.000, 0.000
91.000, -1810.817, 0.000, 0.000, 8.330, 8.330, -15.00, 0.00, 0.00, 0.000, 0.000
92.000, -1830.713, 0.000, 0.000, 8.514, 8.514, -15.00, 0.00, 0.00, 0.000, 0.000
93.000, -1850.610, 0.000, 0.000, 8.699, 8.699, -15.00, 0.00, 0.00, 0.000, 0.000
94.000, -1870.506, 0.000, 0.000, 8.886, 8.886, -15.00, 0.00, 0.00, 0.000, 0.000
95.000, -1890.402, 0.000, 0.000, 9.075, 9.075, -15.00, 0.00, 0.00, 0.000, 0.000
96.000, -1910.298, 0.000, 0.000, 9.266, 9.266, -15.00, 0.00, 0.00, 0.000, 0.000
97.000, -1930.194, 0.000, 0.000, 9.459, 9.459, -15.00, 0.00, 0.00, 0.000, 0.000
98.000, -1950.089, 0.000, 0.000, 9.654, 9.654, -15.00, 0.00, 0.00, 0.000, 0.000
99.000, -1969.985, 0.000, 0.000, 9.851, 9.851, -15.00, 0.00, 0.00, 0.000, 0.000
100.000, -1989.880, 0.000, 0.000, 10.050, 10.050, -15.00, 0.00, 0.00, 0.000, 0.000
101.000, -2009.775, 0.000, 0.000, 10.251, 10.251, -15.00, 0.00, 0.00, 0.000, 0.000
102.000, -2029.669, 0.000, 0.000, 10.454, 10.454, -15.00, 0.00, 0.00, 0.000, 0.000
103.000, -2049.564, 0.000, 0.000, 10.659, 10.659, -15.00, 0.00, 0.00, 0.000, 0.000
104.000, -2069.458, 0.000, 0.000, 10.866, 10.866, -15.00, 0.00, 0.00, 0.000, 0.000
105.000, -2089.352, 0.000, 0.000, 11.075, 11.075, -15.00, 0.00, 0.00, 0.000, 0.000
106.000, -2109.246, 0.000, 0.000, 11.286, 11.286, -15.00, 0.00, 0.00, 0.000, 0.000
